angDist,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,_RAJ2000,_DEJ2000,recno,GaiaDR2,RA_ICRS,DE_ICRS,Distcore,Member,MS,Xraycat,SepX-ray,X-rayID,LX,Per,2RXSID,2RXPID,1RXHID,ChandraID,_RA.icrs,_DE.icrs
1.004471,370525717,328.70307194948,50.09829905763,,,,21544872+5005539,,J215448.76+500554.3,1979766725594384256,,,STAR,tmgaia2,tmgaia2,52.618,0.216,37.829,0.187,gaia2,7.4326,0.1111,,,17.387699,0.001137,15.972,0.008,cdwrf,cdwrf,3170.0,157.0,4.9885,0.0107,,,0.248,0.009,0.219,0.021,134.0750,2.0130,0.0463,0.0298,1.9830,2.0430,328.70342511821,50.09846193260,328.703425118212,50.0984619325996,1063,1979766725594384256,328.70342511821,50.0984619326,136.482411038381,Tail,M,2RXS_UP,,,13.9154988814072,,,,,,328.70342511821,50.0984619326
2.372539,2011936681,328.70239908642,50.09849578213,,,,,,,1979766725577160832,,,STAR,gaia2,gaia2,-5.885,0.434,-4.627,0.403,gaia2,0.2007,0.2452,19.324,0.054,18.908199,0.002128,18.174,0.007,gbprp,gaia2,,,,,,,,,,,2832.4600,1364.0601,0.1855,0.0547,991.6900,1736.4399,328.70235958808,50.09847586222,328.703425118212,50.0984619325996,1063,1979766725594384256,328.70342511821,50.0984619326,136.482411038381,Tail,M,2RXS_UP,,,13.9154988814072,,,,,,328.70342511821,50.0984619326
4.172415,2011936690,328.70271724080,50.09952828377,,,,,,,1979766725578619776,,,STAR,gaia2,gaia2,,,,,,,,21.725,0.252,20.978701,0.019599,20.048,0.031,gbprp,,,,,,,,,,,,,,,,,,328.70271724080,50.09952828377,328.703425118212,50.0984619325996,1063,1979766725594384256,328.70342511821,50.0984619326,136.482411038381,Tail,M,2RXS_UP,,,13.9154988814072,,,,,,328.70342511821,50.0984619326
2.163919,357175092,328.80077434869,33.13130895917,,,616-128699,21551219+3307527,,J215512.28+330753.4,1947829275747165568,48885607,,STAR,tmgaia2,tmgaia2,121.624,0.079,68.541,0.091,gaia2,16.8624,0.0506,13.682,0.030,12.571200,0.000375,11.373,0.007,cdwrf,cdwrf,3433.0,157.0,4.6600,0.0106,,,0.590,0.018,0.580,0.020,59.2027,0.1787,,,0.1782,0.1793,328.80139967264,33.13160406911,328.801399672635,33.1316040691139,1064,1947829275747165568,328.80139967264,33.13160406911,74.1130313004613,Tail,M,2RXS,13.3691802615027,2RXS J215513.1+330755,12.6317910582383,,2RXS J215513.1+330755,,,,328.80139967264,33.13160406911
0.827032,371065408,329.30053746235,49.04126332690,,,,21571213+4902285,,J215712.17+490228.9,1976474886555426560,,,STAR,tmgaia2,tmgaia2,43.418,0.172,31.013,0.168,gaia2,5.8790,0.0953,,,17.390600,0.001045,16.045,0.008,cdwrf,cdwrf,3243.0,157.0,4.9560,0.0057,,,0.274,0.010,0.247,0.021,169.3430,2.7550,0.0387,,,,329.30082264307,49.04139685502,329.300822643074,49.0413968550198,1065,1976474886555426560,329.30082264307,49.04139685502,170.286320550197,Tail,M,2RXS_UP,,,22.6695997939665,,,,,,329.30082264307,49.04139685502
4.453764,2010295676,329.30063102500,49.04016609160,,,,,,,1976474890857911808,,,STAR,gaia2,gaia2,-1.535,0.355,-2.359,0.341,gaia2,-0.1557,0.1965,18.935,0.048,18.689501,0.002209,18.104,0.021,rered,gaia2,5759.0,172.0,4.5256,,,,0.918,,1.030,,4331.1802,1678.7400,0.2313,0.0305,1342.4800,2015.0000,329.30062094027,49.04015593656,329.300822643074,49.0413968550198,1065,1976474886555426560,329.30082264307,49.04139685502,170.286320550197,Tail,M,2RXS_UP,,,22.6695997939665,,,,,,329.30082264307,49.04139685502
0.800025,371211417,329.34762353058,52.69255698922,,,,21572342+5241332,,J215723.47+524133.4,1981159944268378752,,,STAR,tmgaia2,tmgaia2,41.929,0.170,30.100,0.173,gaia2,6.0456,0.1096,,,17.413200,0.001432,16.021,0.008,cdwrf,cdwrf,3198.0,157.0,4.9477,0.0049,,,0.281,0.010,0.255,0.021,164.7200,2.9980,0.0416,,,,329.34792138518,52.69268658811,329.347921385177,52.6926865881107,1066,1981159944268378752,329.34792138518,52.69268658811,164.90148162262,Tail,M,2RXS_UP,,,22.1549527661937,,,,,,329.34792138518,52.69268658811
2.782244,2012592641,329.34814735362,52.69344720198,,,,,,,1981159944262000768,,,STAR,gaia2,gaia2,-4.915,1.057,-0.030,1.349,gaia2,0.4564,0.6471,20.718,0.123,20.305799,0.006456,19.575,0.060,gbprp,gaia2,,,,,,,,,,,2162.4900,1510.2100,0.2503,0.1982,1055.7100,1964.7100,329.34811243530,52.69344707473,329.347921385177,52.6926865881107,1066,1981159944268378752,329.34792138518,52.69268658811,164.90148162262,Tail,M,2RXS_UP,,,22.1549527661937,,,,,,329.34792138518,52.69268658811
2.259323,18002830,329.36016843774,27.85488262689,,,,21572642+2751173,1237680328945304306,J215726.54+275118.3,1896058397093385088,,,STAR,tmgaia2,tmgaia2,128.991,0.167,67.883,0.161,gaia2,18.0743,0.0940,17.670,0.200,16.105700,0.001267,14.626,0.008,cdwrf,cdwrf,2994.0,157.0,5.0648,0.0256,,,0.199,0.006,0.168,0.020,55.2413,0.2889,,,0.2875,0.2904,329.36079659821,27.85517490234,329.360796598208,27.8551749023445,1067,1896058397093385088,329.36079659821,27.85517490234,71.8676657724037,Tail,M,2RXS_UP,,,2.72623427971197,,,,,,329.36079659821,27.85517490234
1.015072,371153872,329.42886243464,50.31802769324,,,,21574293+5019048,,J215742.98+501905.2,1979608533359709312,,,STAR,tmgaia2,tmgaia2,53.375,0.137,37.945,0.120,gaia2,7.6449,0.0693,18.000,0.200,16.339899,0.001756,14.999,0.008,cdwrf,cdwrf,3224.0,157.0,4.8927,0.0014,,,0.331,0.010,0.312,0.021,130.3320,1.1865,0.0588,0.0371,1.1760,1.1970,329.42922234099,50.31819106939,329.429222340992,50.3181910693942,1069,1979608533359709312,329.42922234099,50.31819106939,132.569747791079,Tail,M,2RXS_UP,,,13.3605430356943,,,,,,329.42922234099,50.31819106939
