Name|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|logLx|Prot|M*|R*|L*|Teff|dcz|Lx/bol
2MASS J08413070+1852188|08 41 30.77|+18 52 18.6|Praesepe|182.0|12.97| 2.74|     |29.57| 2.43| 0.85| 0.76| 0.32|4815| 0.68|-3.52
VXR 38a                |08 41 39.70|-52 59 34.1|IC2391  |144.0|13.36| 3.37|     |29.63| 2.78| 0.74| 0.70| 0.20|4375| 0.61|-3.25
2MASS J08414368+1957437|08 41 43.75|+19 57 42.9|Praesepe|182.0|12.35| 2.01|     |28.84| 9.15| 0.91| 0.81| 0.44|5048| 0.70|-4.38
VXR 41                 |08 41 57.89|-52 52 17.0|IC2391  |144.0|13.57| 3.27|     |29.65| 5.80| 0.71| 0.66| 0.16|4208| 0.61|-3.13
VXR 42a                |08 42 04.93|-52 53 54.0|IC2391  |144.0|15.88| 4.71|     |29.34| 1.81| 0.46| 0.47| 0.05|3742| 0.48|-2.94
VXR 45a                |08 42 14.76|-52 56 02.5|IC2391  |144.0|10.70| 2.02|     |30.09| 0.22| 1.13| 1.04| 1.20|5744| 1.00|-3.58
VXR 47                 |08 42 18.56|-53 01 56.9|IC2391  |144.0|13.96| 4.04|     |29.56| 0.26| 0.73| 0.69| 0.18|4319| 0.61|-3.29
2MASS J08425228+1951460|08 42 52.27|+19 51 46.1|Praesepe|182.0|16.99| 4.70|     |28.95| 3.97| 0.43| 0.37| 0.03|3708| 0.09|-3.11
VXR 62a                |08 43 29.29|-52 41 28.4|IC2391  |144.0|11.73| 2.20|     |30.03| 0.50| 0.93| 0.84| 0.50|5125| 0.70|-3.25
VXR 70                 |08 44 05.19|-52 53 17.2|IC2391  |144.0|10.85| 1.66|     |29.83| 2.67| 1.08| 0.98| 0.95|5596| 1.00|-3.73
VXR 72                 |08 44 26.16|-52 42 32.4|IC2391  |144.0|11.46| 1.84|     |30.17| 3.23| 0.96| 0.87| 0.58|5234| 1.00|-3.17
                       |08 44 57.09|+46 40 26.1|Field   | 24.0|14.16| 4.53|     |28.67| 8.81| 0.20| 0.20| 0.01|3283| 0.00|-2.68
VXR 76a                |08 45 26.93|-52 52 02.1|IC2391  |144.0|12.76| 2.67|     |29.92| 4.86| 0.76| 0.72| 0.22|4462| 0.67|-3.01
VXR 77a                |08 45 39.12|-52 25 59.6|IC2391  |144.0| 9.91| 1.25|     |30.17| 0.65| 1.27| 1.21| 2.13|6153| 0.87|-3.74
HD 75302               |08 49 12.53|+03 29 05.1|Field   | 30.0| 7.45| 1.42|G0   |28.51|16.40| 1.04| 0.96| 0.87|5508| 0.72|-4.99
HD 75393               |08 49 15.35|-15 33 53.0|Field   | 42.0| 7.27| 1.24|F7   |29.37| 2.08| 1.22| 1.20| 1.94|6049| 0.82|-4.45
HD 76218               |08 55 55.68|+36 11 46.3|Field   | 26.0| 7.69| 1.64|G5   |28.55| 9.20| 0.95| 0.86| 0.56|5198| 0.70|-4.76
                       |08 59 21.78|+40 33 47.0|Field   |102.0|14.44| 3.64|     |28.95| 3.25| 0.49| 0.42| 0.04|3795| 0.54|-3.26
                       |09 03 14.76|+42 07 25.0|Field   | 70.0|11.82| 3.06|     |29.61| 1.49| 0.72| 0.64| 0.16|4330| 0.65|-3.17
HD 77407               |09 03 27.08|+37 50 27.5|Field   | 30.0| 7.04| 1.42|G0   |29.71| 2.86| 1.13| 1.07| 1.28|5769| 0.76|-3.96
HD 78366               |09 08 51.07|+33 52 56.0|Field   | 19.0| 5.95| 1.42|G0   |28.95| 9.67| 1.14| 1.09| 1.41|5827| 0.76|-4.72
GJ 338B                |09 14 24.70|+52 41 11.0|Field   |  6.4| 7.64| 4.20|     |27.53|10.17| 0.70| 0.61| 0.13|4239| 0.65|-5.18
                       |09 17 44.73|+46 12 24.7|Field   |  9.0|11.61| 4.37|     |28.76| 0.56| 0.22| 0.22| 0.01|3357| 0.00|-2.71
                       |09 19 00.92|+46 10 55.6|Field   | 16.0|11.89| 4.03|     |28.37| 8.35| 0.31| 0.29| 0.01|3538| 0.00|-3.38
                       |09 21 11.05|+48 01 53.8|Field   | 15.0|14.00| 4.83|     |28.36| 0.38| 0.15| 0.17| 0.00|3159| 0.00|-2.76
                       |09 22 51.66|+46 47 00.9|Field   | 24.0|11.32| 3.64|     |28.19|16.61| 0.50| 0.42| 0.04|3800| 0.54|-4.03
                       |09 29 32.79|+43 12 28.6|Field   |134.0|14.87| 3.60|     |29.83| 0.33| 0.51| 0.44| 0.05|3826| 0.54|-2.44
                       |09 29 33.85|+43 12 22.9|Field   | 94.0|14.14| 3.61|     |29.52| 0.33| 0.51| 0.43| 0.05|3818| 0.54|-2.73
HD 82558               |09 32 25.57|-11 11 04.7|Field   | 18.0| 7.82| 2.03|K1   |29.50| 1.70| 0.82| 0.73| 0.27|4693| 0.68|-3.51
HD 82443               |09 32 43.76|+26 59 18.7|Field   | 18.0| 7.05| 1.95|K0   |29.30| 5.41| 0.93| 0.84| 0.50|5121| 0.70|-3.83
HD 82885               |09 35 39.50|+35 48 36.5|Field   | 11.0| 5.40| 1.77|G8   |28.48|18.60| 1.04| 0.96| 0.85|5497| 0.72|-5.01
                       |09 36 01.76|+42 51 30.4|Field   | 82.0|11.37| 2.61|     |29.77| 0.69| 0.81| 0.72| 0.25|4645| 0.68|-3.21
                       |09 36 02.06|+42 51 42.5|Field   | 78.0|11.81| 2.93|     |29.73| 0.69| 0.75| 0.66| 0.18|4413| 0.65|-3.11
GJ 358                 |09 39 46.37|-41 04 03.2|Field   |  9.5|10.77| 4.71|     |28.06|25.26| 0.39| 0.34| 0.02|3650| 0.09|-3.89
HD 85301               |09 52 16.77|+49 11 26.9|Field   | 32.0| 7.74| 1.64|G5   |28.38| 7.47| 1.02| 0.94| 0.80|5459| 0.72|-5.06
                       |09 53 14.40|+47 55 24.8|Field   | 19.0|13.78| 4.57|     |28.56| 0.69| 0.19| 0.20| 0.01|3266| 0.00|-2.76
GJ 375                 |09 58 34.32|-46 25 30.4|Field   | 16.0|11.27| 5.01|     |29.14| 1.88| 0.52| 0.44| 0.05|3834| 0.54|-3.15
                       |09 59 18.80|+43 50 25.6|Field   | 12.0|13.81| 4.95|     |28.54| 0.76| 0.14| 0.16| 0.00|3116| 0.00|-2.50
HD 87424               |10 04 37.66|-11 43 46.9|Field   | 23.0| 8.15| 1.95|K0   |28.01|10.74| 0.84| 0.75| 0.31|4785| 0.68|-4.98
GJ 380                 |10 11 22.14|+49 27 15.3|Field   |  4.9| 6.60| 3.55|K8   |27.45|11.67| 0.69| 0.60| 0.13|4203| 0.65|-5.23
GJ 382                 |10 12 17.67|-03 44 44.4|Field   |  7.9| 9.26| 4.25|     |27.47|21.56| 0.51| 0.43| 0.05|3820| 0.54|-4.79
DK Leo                 |10 14 19.18|+21 04 29.6|Field   | 23.0| 9.30| 3.04|     |29.01| 7.98| 0.74| 0.65| 0.17|4380| 0.65|-3.81
GJ 388                 |10 19 36.28|+19 52 12.1|Field   |  4.7| 9.40| 4.81|     |28.30| 2.60| 0.37| 0.33| 0.02|3630| 0.09|-3.62
HD 90905               |10 29 42.23|+01 29 28.0|Field   | 32.0| 6.88| 1.08|F5   |29.54| 2.60| 1.17| 1.13| 1.59|5908| 0.82|-4.20
R15                    |10 33 41.81|-64 13 45.7|IC2602  |149.0|11.75| 2.37|     |30.27| 3.60| 0.96| 0.88| 0.59|5237| 1.00|-3.08
                       |10 35 08.60|+33 49 50.0|Field   | 50.0|12.57| 3.57|     |28.87| 9.51| 0.53| 0.45| 0.05|3855| 0.54|-3.44
R24                    |10 35 47.30|-64 18 46.1|IC2602  |149.0|14.61| 3.93|     |29.39| 1.25| 0.63| 0.59| 0.10|3977| 0.55|-3.21
R26                    |10 36 18.25|-64 14 56.4|IC2602  |149.0|15.14| 4.26|     |28.77| 5.70| 0.57| 0.56| 0.08|3886| 0.55|-3.73
R27                    |10 36 26.44|-65 00 16.5|IC2602  |149.0|14.35| 3.66|     |29.04| 4.50| 0.64| 0.60| 0.11|3994| 0.55|-3.58
R29                    |10 36 37.97|-64 47 53.9|IC2602  |149.0|12.73| 2.67|     |29.58| 2.21| 0.79| 0.76| 0.26|4553| 0.66|-3.42
R31                    |10 37 22.26|-64 43 20.1|IC2602  |149.0|15.08| 4.46|     |29.49| 0.49| 0.62| 0.59| 0.10|3956| 0.55|-3.09
R32                    |10 37 49.42|-64 00 50.5|IC2602  |149.0|15.06| 4.21|     |29.23| 4.00| 0.58| 0.56| 0.09|3900| 0.55|-3.29
GJ NN3613              |10 38 29.81|+48 31 44.9|Field   | 14.0|13.15| 4.56|     |28.19|27.82| 0.19| 0.20| 0.01|3267| 0.00|-3.13
R44                    |10 39 55.30|-63 36 23.0|IC2602  |149.0|14.88| 1.14|     |28.83| 5.50| 0.28| 0.38| 0.02|3501| 0.00|-3.14
R43                    |10 39 55.97|-63 59 30.0|IC2602  |149.0|12.14| 2.43|     |29.99| 0.78| 0.88| 0.82| 0.42|4962| 0.69|-3.22
R50                    |10 40 30.19|-64 42 16.9|IC2602  |149.0|14.75| 4.04|     |29.34| 6.40| 0.62| 0.59| 0.10|3962| 0.55|-3.25
R52                    |10 40 51.37|-64 42 47.9|IC2602  |149.0|12.19| 2.55|     |29.67| 0.39| 0.88| 0.82| 0.41|4947| 0.69|-3.53
R53                    |10 41 00.00|-64 20 01.0|IC2602  |149.0|15.39| 4.78|     |29.34| 0.41| 0.60| 0.58| 0.09|3933| 0.55|-3.21
