Name|RAJ2000|DEJ2000|Cluster|Dist|Vmag|V-K|SpT|logLx|Prot|M*|R*|L*|Teff|dcz|Lx/bol
Sun                    |           |           |        |     |     | 1.58|G2   |27.35|26.09| 1.00| 1.00| 1.00|5780| 0.69|-6.24
                       |00 08 06.43|+47 57 02.5|Field   |  8.3|12.40| 4.73|     |28.21| 4.38| 0.17| 0.18| 0.00|3201| 0.00|-2.98
HD 691                 |00 11 22.44|+30 26 58.5|Field   | 34.0| 7.95| 1.95|K0   |29.14| 6.05| 1.03| 0.94| 0.80|5460| 0.72|-4.29
GJ NN3030              |00 21 57.81|+49 12 38.0|Field   | 15.0|12.47| 4.27|     |28.25| 6.17| 0.24| 0.24| 0.01|3405| 0.00|-3.28
HD 1835                |00 22 51.79|-12 12 34.0|Field   | 20.0| 6.39| 1.54|G2   |29.15| 7.78| 1.10| 1.03| 1.11|5687| 0.76|-4.43
                       |00 28 53.92|+50 22 33.0|Field   |  9.0|12.82| 4.83|     |28.29| 1.09| 0.15| 0.17| 0.00|3163| 0.00|-2.83
                       |00 36 34.36|+55 37 36.0|Field   | 25.0|12.18| 3.84|     |28.61| 8.35| 0.39| 0.34| 0.02|3654| 0.09|-3.34
                       |00 38 00.02|+43 53 45.4|Field   | 35.0|13.07| 3.89|     |29.02| 0.55| 0.36| 0.33| 0.02|3619| 0.09|-2.88
HD 3651                |00 39 21.81|+21 15 01.7|Field   | 11.0| 5.88| 1.95|K0   |27.60|48.00| 0.96| 0.87| 0.57|5222| 0.72|-5.75
                       |00 39 25.83|+38 16 18.8|Field   | 71.0|13.37| 3.58|     |28.94| 3.08| 0.53| 0.45| 0.05|3847| 0.54|-3.36
V0523_Cas              |00 40 06.26|+50 14 15.5|Field   | 78.0|10.87| 2.38|     |29.73| 0.23| 0.85| 0.77| 0.33|4837| 0.70|-3.38
                       |00 41 03.04|+34 59 29.9|Field   |169.0|14.09| 3.22|     |30.00| 0.70| 0.69| 0.59| 0.12|4194| 0.65|-2.68
                       |00 41 41.41|+44 10 53.1|Field   | 13.0|14.25| 5.06|     |28.36| 0.67| 0.13| 0.15| 0.00|3078| 0.00|-2.60
GJ 29.1                |00 42 48.21|+35 32 55.4|Field   | 23.0|10.44| 4.12|     |29.75| 2.17| 0.69| 0.60| 0.13|4210| 0.65|-2.94
HD 4628                |00 48 22.98|+05 16 50.2|Field   |  7.5| 5.74| 2.73|K4   |26.94|38.50| 0.88| 0.79| 0.39|4954| 0.70|-6.11
                       |00 48 58.22|+44 35 09.1|Field   | 35.0|11.81| 3.57|     |29.47| 1.30| 0.53| 0.45| 0.05|3851| 0.54|-2.84
                       |00 52 38.22|+44 12 02.2|Field   | 35.0|14.29| 4.24|     |28.48| 0.87| 0.25| 0.24| 0.01|3422| 0.00|-3.07
                       |00 53 06.48|+48 29 38.5|Field   | 17.0|12.90| 4.32|     |28.36| 5.53| 0.23| 0.23| 0.01|3380| 0.00|-3.14
                       |01 03 40.14|+40 51 28.9|Field   | 30.0|10.93| 3.60|     |29.65| 0.25| 0.63| 0.53| 0.09|4036| 0.61|-2.89
HD 6963                |01 10 41.91|+42 55 54.6|Field   | 27.0| 7.66| 1.95|K0   |28.14|15.86| 0.98| 0.89| 0.65|5317| 0.72|-5.18
HD 7661                |01 16 24.20|-12 05 49.2|Field   | 26.0| 7.55| 1.95|K0   |28.71| 7.46| 1.00| 0.91| 0.70|5384| 0.72|-4.66
HD 7590                |01 16 29.25|+42 56 21.9|Field   | 24.0| 6.59| 1.42|G0   |28.93| 5.67| 1.11| 1.05| 1.20|5727| 0.76|-4.65
HIP 6276               |01 20 32.27|-11 28 03.7|Field   | 35.0| 8.43| 1.88|     |28.96| 6.40| 0.94| 0.85| 0.54|5178| 0.70|-4.30
                       |01 21 47.09|+38 01 19.5|Field   | 16.0|14.58| 5.02|     |27.71|18.20| 0.14| 0.15| 0.00|3091| 0.00|-3.28
HD 8907                |01 28 34.36|+42 16 03.7|Field   | 34.0| 6.66| 1.29|F8   |29.55| 3.13| 1.26| 1.26| 2.32|6166| 0.88|-4.36
HD 9472                |01 33 19.03|+23 58 32.0|Field   | 33.0| 7.63| 1.42|G0   |28.97|11.10| 1.05| 0.97| 0.91|5537| 0.76|-4.54
HD 10476               |01 42 29.76|+20 16 06.6|Field   |  7.5| 5.24| 2.03|K1   |26.79|35.20| 0.92| 0.83| 0.48|5098| 0.70|-6.44
                       |01 45 18.20|+46 32 07.8|Field   | 26.0|11.42| 4.22|     |29.57| 4.12| 0.57| 0.48| 0.07|3918| 0.61|-2.84
                       |01 46 05.05|+41 30 49.4|Field   | 15.0|15.12| 5.36|     |28.27| 3.39| 0.12| 0.14| 0.00|2985| 0.00|-2.58
HD 10780               |01 47 44.83|+63 51 09.0|Field   | 10.0| 5.63| 1.95|K0   |28.34|23.00| 0.96| 0.87| 0.58|5233| 0.72|-4.97
HD 11507               |01 52 49.17|-22 26 05.5|Field   | 11.0| 8.89| 3.73|K9   |27.70|15.80| 0.62| 0.53| 0.09|4026| 0.61|-4.83
2MASS J01562759+1224491|01 56 27.60|+12 24 46.1|Field   |124.0|10.35| 1.63|     |30.26| 0.54| 1.09| 1.02| 1.07|5659| 0.76|-3.35
HD 11850               |01 56 47.26|+23 03 04.1|Field   | 33.0| 7.85| 1.64|G5   |28.28| 8.00| 1.02| 0.93| 0.78|5439| 0.72|-5.15
HD 12039               |01 57 48.98|-21 54 05.3|Field   | 42.0| 8.07| 1.59|G3/G5|29.56| 3.03| 1.08| 1.00| 1.02|5625| 0.76|-3.97
                       |01 58 13.61|+48 44 19.7|Field   | 14.0|12.64| 4.41|     |28.17| 2.79| 0.21| 0.22| 0.01|3335| 0.00|-3.26
GJ 83.1                |02 00 12.96|+13 03 07.0|Field   |  4.5|12.28| 5.63|     |27.33| 0.52| 0.14| 0.15| 0.00|3102| 0.00|-3.68
HD 12786               |02 04 59.33|-15 40 41.2|Field   | 26.0| 7.79| 1.95|K0   |28.89|15.78| 0.94| 0.85| 0.52|5153| 0.70|-4.34
GJ 84                  |02 05 04.85|-17 36 52.7|Field   |  9.1|10.19| 4.10|M3   |27.67|44.51| 0.40| 0.35| 0.02|3663| 0.09|-4.30
                       |02 09 04.86|+43 41 25.1|Field   | 87.0|13.44| 3.47|     |29.19| 1.30| 0.58| 0.49| 0.07|3934| 0.61|-3.24
HD 13507               |02 12 55.01|+40 40 06.0|Field   | 26.0| 7.19| 1.42|G0   |28.83| 7.45| 1.04| 0.95| 0.85|5492| 0.72|-4.65
HD 13531               |02 13 13.34|+40 30 27.3|Field   | 26.0| 7.35| 1.42|G0   |29.05| 7.49| 1.00| 0.91| 0.70|5380| 0.72|-4.36
HD 13579               |02 15 42.55|+67 40 20.2|Field   | 24.0| 7.13| 2.15|K2   |28.18| 6.79| 1.04| 0.96| 0.88|5517| 0.72|-5.27
                       |02 25 38.42|+37 32 34.0|Field   | 18.0|13.24| 4.39|     |28.30|15.29| 0.22| 0.22| 0.01|3344| 0.00|-3.15
CK_Tri                 |02 29 36.39|+34 23 43.3|Field   | 19.0|12.35| 4.03|     |28.83| 2.73| 0.31| 0.28| 0.01|3534| 0.00|-2.91
GJ 103                 |02 34 22.57|-43 47 46.9|Field   | 12.0| 8.70| 3.55|K8   |29.55| 1.56| 0.65| 0.56| 0.10|4095| 0.61|-3.05
HD 16160               |02 36 04.89|+06 53 12.7|Field   |  7.2| 5.79| 2.41|K3   |27.24|48.00| 0.84| 0.75| 0.31|4785| 0.68|-5.76
HD 16673               |02 40 12.42|-09 27 10.4|Field   | 22.0| 5.79| 1.24|F7   |28.80| 7.40| 1.23| 1.21| 2.04|6081| 0.82|-5.10
                       |02 40 52.51|+44 52 36.5|Field   | 12.0|13.20| 4.74|     |27.68| 9.36| 0.16| 0.18| 0.00|3197| 0.00|-3.50
LH98 17                |02 52 17.59|+36 16 48.2|Field   | 26.0|11.18| 3.58|     |29.66| 7.98| 0.53| 0.44| 0.05|3845| 0.54|-3.39
HD 17925               |02 52 32.13|-12 46 11.0|Field   | 10.0| 6.05| 1.95|K0   |29.08| 6.76| 0.91| 0.81| 0.43|5037| 0.70|-4.12
HD 18256               |02 56 26.15|+18 01 23.2|Field   | 35.0| 5.58| 1.08|F5   |28.69| 3.00| 1.56| 1.70| 6.59|6910| 0.99|-5.66
HD 18940               |03 03 28.66|+23 03 41.3|Field   | 34.0| 7.09| 1.42|G0   |28.81| 8.92| 1.16| 1.12| 1.55|5890| 0.82|-4.95
HD 19019               |03 03 50.81|+06 07 59.9|Field   | 32.0| 6.92| 1.29|F8   |28.32| 9.70| 1.16| 1.12| 1.55|5891| 0.82|-5.41
                       |03 07 09.68|+32 35 20.5|Field   | 24.0|14.13| 4.51|     |28.30| 2.35| 0.20| 0.21| 0.01|3289| 0.00|-3.06
GJ 1054A               |03 07 55.75|-28 13 11.0|Field   | 19.0|10.20| 3.55|M0   |28.55| 0.51| 0.58| 0.49| 0.07|3941| 0.61|-3.89
HD 19632               |03 08 52.45|-24 53 15.5|Field   | 30.0| 7.29| 1.59|G3/G5|28.20|12.42| 1.09| 1.02| 1.07|5656| 0.76|-5.41
HD 19668               |03 09 42.29|-09 34 46.6|Field   | 40.0| 8.48| 1.42|G0   |28.88| 5.41| 0.97| 0.88| 0.61|5264| 0.72|-4.70
HD 19668               |03 09 42.29|-09 34 46.6|Field   | 40.0| 8.48| 1.42|G0   |28.88| 5.48| 0.97| 0.88| 0.61|5264| 0.72|-4.49
                       |03 10 28.78|+28 59 49.9|Field   | 18.0|14.33| 4.81|     |27.73| 2.87| 0.15| 0.17| 0.00|3167| 0.00|-3.40
                       |03 15 37.83|+37 24 14.3|Field   | 12.0|13.12| 4.71|     |28.31| 1.29| 0.17| 0.18| 0.00|3208| 0.00|-2.90
                       |03 16 59.06|+36 50 41.8|Field   | 64.0|14.01| 3.78|     |28.94| 0.86| 0.42| 0.36| 0.03|3691| 0.09|-3.09
                       |03 17 12.80|+45 52 58.0|Field   | 28.0|13.11| 4.03|     |28.51| 5.13| 0.31| 0.29| 0.01|3537| 0.00|-3.23
AP 93                  |03 19 02.40|+48 10 57.0|aPersei |172.0|11.99| 2.36|     |30.12| 0.62| 1.03| 0.92| 0.76|5440| 1.00|-3.35
HD 20630               |03 19 21.70|+03 22 12.7|Field   |  9.2| 4.84| 1.64|G5   |28.90| 9.40| 1.06| 0.98| 0.94|5560| 0.76|-4.66
AP 96                  |03 20 39.39|+50 15 49.5|aPersei |172.0|14.55| 4.06|     |29.58| 0.35| 0.76| 0.67| 0.20|4505| 0.68|-3.30
AP 97                  |03 20 41.50|+48 24 36.0|aPersei |172.0|12.08| 1.93|     |29.46| 4.78| 0.98| 0.87| 0.60|5278| 1.00|-3.91
AP 98                  |03 21 06.51|+48 26 12.7|aPersei |172.0|12.80| 2.21|     |29.05| 6.20| 0.86| 0.76| 0.34|4876| 0.70|-4.07
AP 100                 |03 21 15.70|+48 35 06.0|aPersei |172.0|12.80| 2.93|     |29.66| 0.21| 0.93| 0.82| 0.47|5102| 0.70|-3.60
AP 102                 |03 21 19.90|+48 45 27.0|aPersei |172.0|11.96| 1.81|     |29.62| 4.26| 0.99| 0.89| 0.64|5338| 1.00|-3.78
AP 101                 |03 21 22.18|+49 57 03.3|aPersei |172.0|13.89| 2.98|     |29.31| 3.20| 0.74| 0.65| 0.18|4427| 0.66|-3.52
HE 520                 |03 22 21.94|+49 08 27.6|aPersei |172.0|11.69| 1.59|G3   |30.23| 0.60| 0.98| 0.87| 0.60|5282| 1.00|-3.14
                       |03 22 31.66|+28 58 29.2|Field   | 17.0|15.18| 5.24|     |28.08| 1.93| 0.12| 0.14| 0.00|3022| 0.00|-2.81
AP 108                 |03 23 36.63|+48 58 53.4|aPersei |172.0|12.92| 2.35|     |29.74| 3.89| 0.85| 0.75| 0.32|4832| 0.70|-3.35
AP 109                 |03 24 06.70|+49 24 51.9|aPersei |172.0|15.84| 4.16|     |29.43| 0.25| 0.55| 0.48| 0.07|3913| 0.55|-2.97
HE 601                 |03 24 17.06|+49 39 00.3|aPersei |172.0|11.43| 1.54|     |29.71| 3.63| 1.09| 0.99| 1.00|5647| 1.00|-3.88
AP 15                  |03 24 25.10|+48 48 21.3|aPersei |172.0|14.12| 3.10|     |29.52| 0.65| 0.71| 0.63| 0.15|4341| 0.66|-3.25
AP 149                 |03 24 48.19|+48 53 21.8|aPersei |172.0|11.71| 2.02|     |30.17| 0.32| 1.05| 0.95| 0.86|5528| 1.00|-3.35
HE 622                 |03 24 49.71|+48 52 18.4|aPersei |172.0|11.63| 1.77|     |30.38| 0.81| 1.05| 0.95| 0.86|5525| 1.00|-3.14
AP 110                 |03 24 54.50|+49 25 52.0|aPersei |172.0|12.27| 1.75|     |29.42| 5.13| 0.93| 0.82| 0.47|5109| 0.70|-3.84
                       |03 24 58.18|+26 51 01.8|Field   |108.0|12.75| 3.06|     |29.48| 3.46| 0.72| 0.64| 0.16|4328| 0.65|-3.30
AP 25                  |03 25 16.23|+48 22 24.0|aPersei |172.0|12.25| 1.98|     |30.06| 3.71| 0.95| 0.84| 0.52|5167| 0.70|-3.24
AP 112                 |03 25 31.80|+48 30 09.0|aPersei |172.0|13.68| 2.82|     |29.51| 2.69| 0.76| 0.67| 0.19|4485| 0.68|-3.36
2MASS J03254797+3651473|03 25 47.97|+36 51 47.3|Field   |148.0|13.10| 2.87|     |30.12| 0.43| 0.76| 0.67| 0.19|4452| 0.68|-2.75
AP 28                  |03 25 53.95|+48 31 09.0|aPersei |172.0|13.09| 2.39|     |29.74| 3.47| 0.83| 0.73| 0.28|4739| 0.68|-3.29
AP 37                  |03 26 16.40|+48 50 28.4|aPersei |172.0|12.61| 2.13|     |29.90| 2.40| 0.90| 0.79| 0.39|4997| 0.70|-3.28
HE 699                 |03 26 22.22|+49 25 37.5|aPersei |172.0|11.27| 1.59|G3   |30.30| 0.33| 1.06| 0.96| 0.89|5550| 1.00|-3.24
AP 41                  |03 26 25.33|+48 20 06.9|aPersei |172.0|12.03| 1.89|     |29.39| 5.50| 0.99| 0.88| 0.62|5310| 1.00|-3.99
AP 43                  |03 26 28.01|+49 02 12.1|aPersei |172.0|12.84| 2.47|     |29.93| 0.56| 0.88| 0.77| 0.36|4921| 0.70|-3.21
AP 158                 |03 26 33.60|+50 13 57.0|aPersei |172.0|11.93| 1.97|     |29.34| 3.23| 1.01| 0.90| 0.69|5385| 1.00|-4.09
CK_Ari                 |03 27 14.33|+27 23 08.8|Field   | 30.0|11.77| 4.00|     |29.05| 9.70| 0.54| 0.46| 0.06|3869| 0.54|-3.29
AP 114                 |03 27 20.37|+47 59 25.1|aPersei |172.0|13.40| 2.67|     |29.20| 1.30| 0.79| 0.70| 0.22|4605| 0.68|-3.74
AP 56                  |03 27 23.59|+48 22 19.9|aPersei |172.0|13.00| 1.94|     |29.66| 0.36| 0.81| 0.72| 0.26|4692| 0.68|-3.34
AP 60                  |03 27 38.59|+48 24 59.2|aPersei |172.0|15.74| 4.58|     |29.34| 0.32| 0.62| 0.54| 0.09|4065| 0.62|-3.22
AP 63                  |03 27 51.03|+49 12 10.0|aPersei |172.0|12.29| 2.17|     |29.75| 0.22| 0.95| 0.85| 0.54|5192| 1.00|-3.57
AP 70                  |03 28 18.68|+48 39 48.2|aPersei |172.0|12.83| 2.24|     |29.62| 6.40| 0.86| 0.76| 0.33|4862| 0.70|-3.49
AP 72                  |03 28 22.54|+49 14 29.3|aPersei |172.0|12.78| 2.13|     |28.64| 6.30| 0.86| 0.76| 0.34|4870| 0.70|-4.47
AP 75                  |03 28 47.43|+49 16 28.0|aPersei |172.0|13.82| 3.27|     |29.37| 2.82| 0.79| 0.70| 0.22|4604| 0.68|-3.57
AP 117                 |03 28 48.48|+49 11 54.2|aPersei |172.0|13.05| 2.45|     |29.83| 0.47| 0.84| 0.74| 0.29|4776| 0.68|-3.23
AP 86                  |03 30 22.90|+48 24 42.8|aPersei |172.0|14.31| 3.28|     |29.24| 0.21| 0.70| 0.62| 0.14|4304| 0.66|-3.50
AP 197                 |03 30 28.70|+47 38 28.0|aPersei |172.0|12.31| 1.94|     |29.46| 5.62| 0.93| 0.83| 0.49|5126| 0.70|-3.81
                       |03 30 31.20|+28 44 18.5|Field   | 19.0|14.47| 4.84|     |27.76| 6.55| 0.15| 0.17| 0.00|3158| 0.00|-3.35
AP 189                 |03 31 44.88|+49 33 03.7|aPersei |172.0|13.05| 2.48|     |29.96| 0.63| 0.84| 0.74| 0.30|4781| 0.68|-3.10
AP 193                 |03 32 10.10|+49 08 30.8|aPersei |172.0|12.28| 2.04|     |30.24| 0.74| 0.94| 0.84| 0.51|5164| 0.70|-3.06
AP 118                 |03 32 30.69|+49 10 34.7|aPersei |172.0|12.06| 2.03|     |30.08| 0.32| 0.99| 0.88| 0.63|5313| 1.00|-3.30
                       |03 32 35.38|+35 03 44.1|Field   | 99.0|13.91| 3.52|     |29.43| 0.39| 0.55| 0.47| 0.06|3888| 0.61|-2.94
AP 199                 |03 32 44.44|+47 41 35.2|aPersei |172.0|12.10| 2.25|     |29.93| 1.82| 1.00| 0.89| 0.66|5354| 1.00|-3.48
AP 201                 |03 32 51.08|+49 50 44.0|aPersei |172.0|13.08| 2.68|     |29.79| 3.75| 0.84| 0.74| 0.30|4793| 0.68|-3.28
HD 22049               |03 32 55.84|-09 27 29.7|Field   |  3.2| 3.72| 2.15|K2   |28.32|11.68| 0.88| 0.79| 0.38|4937| 0.70|-4.80
AP 211                 |03 34 11.30|+49 50 30.1|aPersei |172.0|15.07| 3.75|     |29.36| 0.29| 0.62| 0.54| 0.10|4073| 0.62|-3.21
AP 212                 |03 34 29.30|+49 21 47.2|aPersei |172.0|13.24| 2.40|     |29.39| 7.10| 0.81| 0.71| 0.24|4659| 0.68|-3.58
HD 22179               |03 35 29.90|+31 13 37.5|Field   | 75.0| 8.93| 1.51|     |30.31| 1.84| 1.15| 1.09| 1.42|5831| 0.76|-3.50
                       |03 35 52.00|+34 04 26.9|Field   | 96.0|13.68| 3.47|     |29.63| 0.47| 0.58| 0.49| 0.07|3931| 0.61|-2.79
VB 5                   |03 37 34.97|+21 20 35.4|Hyades  | 46.0| 9.36| 2.24|     |29.02|10.57| 0.91| 0.82| 0.45|5064| 0.70|-4.22
                       |03 41 31.90|+35 06 53.2|Field   | 23.0|14.10| 4.53|     |28.25| 1.88| 0.20| 0.20| 0.01|3280| 0.00|-3.10
HCG58                  |03 41 58.93|+25 19 44.4|Pleiades|133.0|14.24| 4.03|     |29.71| 0.38| 0.70| 0.60| 0.13|4254| 0.66|-2.99
HCG65                  |03 42 03.83|+24 42 45.4|Pleiades|133.0|13.46| 3.43|     |29.55| 6.63| 0.74| 0.65| 0.18|4422| 0.66|-3.28
HCG71                  |03 42 21.54|+24 39 52.7|Pleiades|133.0|14.48| 3.65|     |29.64| 2.99| 0.60| 0.51| 0.08|4001| 0.62|-2.84
AK1B078                |03 42 27.60|+25 02 49.2|Pleiades|133.0|12.66| 2.48|     |29.06| 8.41| 0.79| 0.69| 0.22|4581| 0.69|-3.86
HII34                  |03 43 02.94|+24 40 11.1|Pleiades|133.0|11.96| 2.12|     |29.03| 6.65| 0.88| 0.78| 0.36|4927| 0.70|-4.12
HCG97                  |03 43 05.53|+24 49 28.5|Pleiades|133.0|15.21| 4.30|     |29.47| 0.28| 0.56| 0.47| 0.07|3935| 0.62|-2.93
HCG100                 |03 43 09.75|+24 41 33.0|Pleiades|133.0|16.37| 4.83|     |29.21| 2.03| 0.44| 0.38| 0.03|3735| 0.45|-2.88
HCG103                 |03 43 13.07|+24 39 19.5|Pleiades|133.0|16.05| 4.64|     |28.87| 0.26| 0.46| 0.40| 0.04|3775| 0.57|-3.29
HII97                  |03 43 26.62|+24 59 39.6|Pleiades|133.0|12.65| 2.74|     |29.44| 6.75| 0.81| 0.71| 0.24|4652| 0.69|-3.52
SRS78175               |03 43 27.12|+25 23 15.3|Pleiades|133.0|11.44| 2.10|     |30.10| 0.67| 0.97| 0.87| 0.59|5256| 0.72|-3.25
HII134                 |03 43 36.63|+24 13 56.3|Pleiades|133.0|14.37| 3.55|M0   |29.47| 0.36| 0.59| 0.49| 0.07|3972| 0.62|-2.97
HII133                 |03 43 36.92|+24 23 38.2|Pleiades|133.0|14.26| 3.51|     |29.48| 1.36| 0.62| 0.53| 0.09|4048| 0.62|-3.05
HCG123                 |03 43 42.13|+24 34 23.4|Pleiades|133.0|15.43| 4.36|     |29.34| 0.97| 0.53| 0.45| 0.06|3883| 0.57|-2.99
HII174                 |03 43 48.33|+25 00 15.8|Pleiades|133.0|11.62| 2.13|     |30.24| 0.47| 0.94| 0.83| 0.50|5142| 0.70|-3.04
HII173                 |03 43 48.41|+25 11 24.2|Pleiades|133.0|10.89| 1.95|K0   |29.32| 5.71| 1.04| 0.94| 0.82|5488| 0.72|-4.18
HII193                 |03 43 50.71|+24 14 50.9|Pleiades|133.0|11.30| 1.59|G3   |29.94| 5.39| 0.94| 0.84| 0.51|5161| 0.70|-3.36
HII191                 |03 43 52.14|+24 50 29.7|Pleiades|133.0|14.50| 3.74|     |29.45| 3.02| 0.61| 0.51| 0.08|4018| 0.62|-3.05
HII212                 |03 43 55.69|+24 25 35.0|Pleiades|133.0|14.30| 3.54|     |29.46| 4.53| 0.62| 0.52| 0.09|4041| 0.62|-3.06
HCG129                 |03 43 56.70|+24 59 36.7|Pleiades|133.0|16.07| 4.44|     |28.90| 3.96| 0.44| 0.38| 0.03|3734| 0.45|-3.19
HCG134                 |03 44 02.28|+25 03 53.8|Pleiades|133.0|15.62| 4.23|     |29.31| 4.12| 0.49| 0.41| 0.04|3814| 0.57|-2.90
HII253                 |03 44 03.54|+24 30 15.1|Pleiades|133.0|10.71| 1.46|G1   |30.51| 1.48| 1.05| 0.95| 0.86|5526| 0.94|-3.01
HII250                 |03 44 04.24|+24 59 23.4|Pleiades|133.0|10.70| 1.46|G1   |29.44| 4.23| 1.05| 0.96| 0.87|5533| 0.94|-4.09
HII263                 |03 44 04.84|+24 16 31.8|Pleiades|133.0|11.63| 2.13|     |29.85| 4.76| 0.94| 0.83| 0.50|5136| 0.70|-3.43
HII296                 |03 44 11.21|+23 22 45.6|Pleiades|133.0|11.45| 1.93|     |29.66| 2.61| 0.96| 0.85| 0.55|5206| 0.72|-3.66
HII293                 |03 44 13.92|+24 46 45.8|Pleiades|133.0|10.79| 1.46|G1   |29.18| 3.93| 1.04| 0.94| 0.80|5476| 0.72|-4.31
HII303                 |03 44 14.67|+24 06 06.5|Pleiades|133.0|10.48| 2.05|     |29.92| 3.18| 1.16| 1.08| 1.38|5853| 0.81|-3.81
HII314                 |03 44 20.08|+24 47 46.2|Pleiades|133.0|10.60| 1.46|G1   |30.33| 1.48| 1.08| 0.98| 0.96|5603| 0.94|-3.23
HII320                 |03 44 20.51|+24 46 22.3|Pleiades|133.0|11.02| 2.03|     |29.95| 4.52| 1.05| 0.95| 0.84|5504| 0.72|-3.56
HII324                 |03 44 21.90|+24 46 06.3|Pleiades|133.0|13.01| 2.82|     |29.90| 0.41| 0.75| 0.66| 0.18|4450| 0.69|-2.94
HII335                 |03 44 23.06|+24 04 05.9|Pleiades|133.0|13.74| 3.41|     |29.68| 0.36| 0.70| 0.61| 0.13|4264| 0.66|-3.03
HCG149                 |03 44 24.81|+24 46 06.2|Pleiades|133.0|15.42| 4.29|     |29.43| 3.27| 0.53| 0.44| 0.05|3874| 0.57|-2.88
HCG150                 |03 44 25.59|+24 40 52.9|Pleiades|133.0|16.66| 4.89|     |29.32| 1.08| 0.40| 0.36| 0.03|3685| 0.45|-2.68
HII345                 |03 44 26.28|+24 35 22.9|Pleiades|133.0|11.60| 2.22|     |30.21| 0.84| 0.95| 0.84| 0.53|5177| 0.70|-3.09
HII347                 |03 44 27.29|+24 50 38.3|Pleiades|133.0|14.02| 3.89|     |29.59| 0.40| 0.71| 0.62| 0.14|4299| 0.66|-3.15
HII357                 |03 44 28.01|+24 10 17.6|Pleiades|133.0|13.32| 3.18|     |29.88| 3.79| 0.74| 0.65| 0.17|4406| 0.66|-2.94
HII405                 |03 44 40.75|+24 49 06.8|Pleiades|133.0| 9.84| 1.29|F8   |29.70| 1.92| 1.23| 1.17| 1.88|6071| 0.81|-4.16
HII430                 |03 44 43.98|+24 13 52.4|Pleiades|133.0|11.39| 1.77|G8   |28.84| 5.52| 0.93| 0.83| 0.48|5119| 0.70|-4.43
                       |03 44 44.75|+40 41 50.9|Field   | 19.0|13.67| 4.54|     |28.43| 0.68| 0.20| 0.20| 0.01|3280| 0.00|-2.91
HII451                 |03 44 50.17|+24 54 40.1|Pleiades|133.0|13.43| 2.97|     |29.24| 5.55| 0.71| 0.61| 0.14|4276| 0.66|-3.48
HII476                 |03 44 53.83|+23 55 16.6|Pleiades|133.0|10.78| 1.34|F9   |29.57| 2.43| 1.03| 0.93| 0.79|5468| 0.72|-3.92
HII489                 |03 44 56.40|+24 25 57.4|Pleiades|133.0|10.42| 1.42|G0   |29.37| 2.85| 1.11| 1.02| 1.11|5712| 0.94|-4.27
HII513                 |03 44 58.96|+23 23 20.2|Pleiades|133.0|13.85| 3.25|     |29.17| 5.84| 0.66| 0.57| 0.11|4153| 0.66|-3.46
HII514                 |03 45 04.01|+25 15 28.2|Pleiades|133.0|10.73| 1.57|     |29.26| 3.79| 1.08| 0.99| 0.98|5625| 0.94|-4.32
HII554                 |03 45 11.99|+24 35 10.2|Pleiades|133.0|13.82| 3.15|     |29.31| 4.33| 0.66| 0.56| 0.11|4135| 0.66|-3.30
HCG181                 |03 45 16.65|+24 34 32.5|Pleiades|133.0|16.18| 4.63|     |29.55| 0.86| 0.44| 0.38| 0.03|3741| 0.45|-2.56
HCG178                 |03 45 16.98|+25 15 47.8|Pleiades|133.0|16.20| 4.90|     |29.39| 0.69| 0.48| 0.41| 0.04|3795| 0.57|-2.80
HII625                 |03 45 21.19|+23 43 39.0|Pleiades|133.0|12.68| 3.16|     |30.24| 0.43| 0.84| 0.75| 0.31|4798| 0.69|-2.83
HII636                 |03 45 22.20|+23 28 18.2|Pleiades|133.0|12.40| 2.44|     |29.39| 7.50| 0.82| 0.73| 0.27|4725| 0.69|-3.63
HII624                 |03 45 23.49|+24 51 02.9|Pleiades|133.0|15.28| 4.13|     |29.08| 1.25| 0.53| 0.45| 0.05|3878| 0.57|-3.24
HII673                 |03 45 30.22|+24 18 45.5|Pleiades|133.0|15.74| 4.49|     |29.35| 2.19| 0.50| 0.42| 0.05|3833| 0.57|-2.90
HII686                 |03 45 32.93|+24 18 11.7|Pleiades|133.0|13.52| 3.18|     |29.80| 0.40| 0.71| 0.62| 0.14|4298| 0.66|-2.94
HII708                 |03 45 35.40|+24 04 59.6|Pleiades|133.0|10.11| 1.24|F7   |29.83| 0.29| 1.17| 1.09| 1.46|5892| 0.81|-3.92
HCG194                 |03 45 36.72|+24 39 06.8|Pleiades|133.0|16.66| 5.19|     |29.25| 0.33| 0.44| 0.38| 0.03|3739| 0.45|-2.85
HII738                 |03 45 39.41|+23 45 15.4|Pleiades|133.0|12.32| 3.20|     |30.30| 0.83| 0.91| 0.81| 0.44|5054| 0.70|-2.92
HII727                 |03 45 40.17|+24 37 38.1|Pleiades|133.0| 9.71| 1.24|F7   |30.03| 0.53| 1.26| 1.21| 2.10|6153| 0.87|-3.88
HII746                 |03 45 41.85|+24 25 53.4|Pleiades|133.0|11.30| 1.64|G5   |29.11| 5.23| 0.94| 0.84| 0.52|5162| 0.70|-4.19
HII739                 |03 45 42.12|+24 54 21.6|Pleiades|133.0| 9.50| 1.46|G1   |30.34| 0.92| 1.32| 1.28| 2.63|6327| 0.87|-3.67
